10 50
1 2 549188966
1 4 -556613697
2 1 -689632333
2 3 949217145
2 4 920071003
2 6 709140086
2 7 704029946
2 8 -361949113
2 9 564334803
2 10 -994835806
3 2 768465933
3 3 890776163
3 4 264285676
3 5 -577287918
3 7 -202929520
3 8 -45339656
4 2 61576101
4 5 114512565
4 8 -183700603
4 10 -174337534
5 5 -565255712
5 6 -864095264
5 7 -147223140
5 8 -26838628
5 9 164922411
5 10 515481939
6 2 180067198
6 3 880443829
6 5 -99178100
6 6 -133587913
6 7 333672098
6 8 -342474151
6 9 -482034080
6 10 121694302
7 1 290457990
7 5 -170217931
7 8 -967637321
7 9 77584926
7 10 -882580913
8 2 -318058580
8 4 653501821
8 8 -176830431
8 9 5181613
9 4 -981342965
9 7 907062537
9 9 631960738
9 10 773705644
10 3 119726822
10 4 491025691
10 10 -199319629
